UT,PY,LA,DT,TI,DE,ID,AB
WOS:001486630800001,2025,English,Article,Intermittent Rainfed Rice var. INIA 516 LM1: A Sustainable Alternative for the Huallaga River Basin,water footprint; irrigation schedule; pest; water productivity; sustainable water management,GREY WATER FOOTPRINT; EFFICIENCY; EVAPOTRANSPIRATION; PRODUCTIVITY; CONSUMPTION; MANAGEMENT; ADOPTION; YIELD; AREA,"Climate change is projected to increase global temperatures and alter rainfall patterns. In Peru, these changes could adversely affect the central basin of the Huallaga River by increasing pest and disease incidence, evapotranspiration, and water consumption. This basin is one of the country's main rice-producing regions, where the crop is traditionally cultivated using inefficient practices, such as continuous flood irrigation. This study evaluated the effects of different irrigation management strategies on the growth and yield of rice (Oryza sativa var. INIA 516 LM1-La Uni & oacute;n 23), the water footprint as an indicator of water use efficiency, and the incidence of pests and diseases associated with irrigation regimes. Three irrigation treatments were implemented: Traditional flooding T1 (maintenance of a 0.15 m water layer with replenishment every 4 days), Optimized flooding T2 (replenishment every 7 days), and Intermittent rainfed irrigation T3 (replenishment every 14 days). Although no significant differences were observed in biometric parameters, yield, or pest and disease incidence, a trend of decreasing yield with longer irrigation intervals was noted: traditional flooding (7.91 t center dot ha(-1)) > reduced flooding (7.82 t center dot ha(-1)) > intermittent rainfed (7.14 t center dot ha(-1)). The incidence of white leaf virus and Burkholderia glumae was highest in the intermittent rainfed treatment, followed by optimized flooding, with the lowest incidence in traditional flooding. Yield reduction and the use of rainwater to cover water requirements resulted in a lower total water footprint for traditional flooding (834.0 m(3)center dot t(-1)), followed by optimized flooding (843.6 m(3)center dot t(-1)) and intermittent rainfed (923.9 m(3)center dot t(-1)). This reflects an improvement in rainwater use efficiency. The findings suggest intermittent rainfed irrigation enhances water use efficiency without significantly compromising rice yield or increasing disease incidence in rice var. INIA 516 LM1-La Uni & oacute;n 23 in the central basin of the Huallaga River."
WOS:001523025100010,2025,English,Article,"Ecological security assessment of rice production systems in arid regions: a multi-criteria assessment of Iranshahr and Saravan, Iran",Emergy analysis; Resilience; Water management; Soil degradation; Socio-ecological systems; Arid farming,SOIL QUALITY INDICATORS; FOOTPRINT ANALYSIS; DYNAMIC CHANGES; EMERGY; SUSTAINABILITY; CHINA,"This research examines the ecological stability of rice cultivation systems in the arid regions of Iranshahr and Saravan, employing a comprehensive approach that integrates multiple sustainability criteria. The study has integrated the emergy footprint with innovative ecological metrics to quantify the stability and resilience of systems. This study utilized an emergy footprint analysis, integrating ecological footprint and emergy concepts, to assess sustainability. Data were collected through field measurements of agricultural inputs, water use, and soil properties, supplemented by secondary sources such as regional agricultural and meteorological records. The results indicated ecological surpluses in both regions (Iranshahr: 2.92E+09 ha, Saravan: 3.27E+08 ha), along with low Ecological Pressure Index values (0.00184 and 0.00526, respectively), signifying minimal environmental stress. Saravan displayed greater ecological resilience (ERI: 318.97) than Iranshahr (ERI: 86.45); however, both locations showed effective water resource management (WRSI: 176.47 and 147.06, respectively). Soil quality is problematic, as indicated by Soil Quality Degradation Index values of 0.842 (Iranshahr) and 0.886 (Saravan), suggesting moderate degradation. The Socio-Ecological Coupling Index indicated a greater coupling of ecological and societal systems in Iranshahr (147.67) than in Saravan (66.86). The Agricultural System Stability Index values demonstrated highly stable agricultural systems in both study regions (Saravan: 1.51, Iranshahr: 1.37). Even with current global rice cultivation practices, the study shows that careful soil, water, economic, and ecological management can succeed. The study provides a comprehensive method for assessing agricultural system sustainability and valuable insights for arid region agriculture."
WOS:001638695600001,2026,English,Article,How about improving the lime-hemp concrete properties using bio-based polymer additives?,Hemp concrete; Casein; kappa-carrageenan; HPMC; Hygrothermal-mechanical properties,PHYSICAL-MECHANICAL PROPERTIES; THERMAL-PROPERTIES; WATER-ABSORPTION; SURFACE TREATMENTS; BUILDING-MATERIALS; CELLULOSE ETHER; ACID CASEIN; FLAX SHIVE; RICE HUSK; MORTARS,"The construction sector's high energy use and CO2 emissions drive the search for sustainable materials such as bio-aggregate concrete. Hemp concrete, composed of hemp shiv and lime, offers benefits including a negative carbon footprint, thermal and acoustic insulation, and moisture regulation but suffers from low strength and durability. Literature studies have shown that bio-based polymers can improve the properties of lime-based materials. This study aims to evaluate the potential of using biopolymers to improve the comprehensive properties of lime-based hemp concrete. Investigated the effect of three bio-based polymers (casein, kappa-carrageenan, and hydroxypropyl methylcellulose (HPMC)) on the hygrothermal properties (thermal conductivity, WVP, and MBV), mechanical strength, and capillary water absorption. Additionally, mineralogical and microstructural analyses were conducted using XRD, TG, and SEM. Results showed that within 0.5-5 % of contents, three biobased polymers had little effect on the hygrothermal performance of hemp concrete but significantly affected mechanical strength and capillary water absorption. Adding casein hindered binder hydration and carbonation, reducing compressive strength and increasing water absorption, despite improving hygrothermal properties. Incorporating 0.5 % kappa-carrageenan slightly increased compressive strength, but higher contents resulted in strength loss and higher capillary water absorption. Adding HPMC offered the most balanced performance, with 5 % content increasing strength by 155 %, reducing water absorption by 29 %, while preserving thermal conductivity and moisture buffering close to the reference group. These effects were attributed to enhanced interface bonding and the matrix itself due to HPMC's physicochemical effect. The findings contribute to developing enhanced bio-aggregate-based concrete, advancing their applicability in sustainable construction."
WOS:001607761500001,2025,English,Article,Sustainable transition for cereal-based agri-food systems in China: Prospective advantages of whole-grain adoption,Agri-Food systems; Whole grains; Food transition; Food security; Emission reduction; Sustainability,CARDIOVASCULAR-DISEASE; CONSUMPTION; FIBER; RISK,"A dietary transition from refined to whole grains would optimize grain processing, reduce food loss and emissions, and increase food nutritional contents. The results of systematical analysis and calculations in our study show that the average processing loss rate of grains including rice, wheat, and maize is approximately 4.1% in China due to the refinement, equivalent to an annual loss of around 13.3 Mt of grains. Furthermore, the refining process significantly reduces the nutritional contents of rice (51.6%), wheat flour (55.4%), and corn products (80.4%) mainly resulting from the removal of dietary fiber, minerals, and vitamins in refined grains. Replacing refined grains with whole grains in diets would lower agricultural carbon emissions by 2.7%, reducing agricultural water use by 4.3%, and saving arable land by 1,972,607 ha. Total environmental footprint could be reduced by 35% to 79% under three proposed scenarios. These findings indicate that shifting toward whole grain-based diets by Chinese consumers could reduce food losses, enhance human health, and improve environmental sustainability. This approach offers a promising strategy for transitioning towards more resilient and sustainable agri-food systems, benefiting human and planetary health. (c) 2025 Crop Science Society of China and Institute of Crop Science, CAAS. Production and hosting by Elsevier B.V. on behalf of KeAi Communications Co., Ltd. This is an open access article under the CC BY-NCND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)."
WOS:001418546200001,2025,English,Article,Effects of Drip Irrigations with Different Irrigation Intervals and Levels on Nutritional Traits of Paddy Cultivars,paddy; irrigation interval; irrigation level; cultivar; nutritional traits,WATER-USE EFFICIENCY; PHYTIC ACID CONTENT; DROUGHT STRESS; PROXIMATE COMPOSITION; MINERAL ELEMENTS; DURUM-WHEAT; RICE; GRAIN; STARCH; L.,"Rice serves as the primary food source for the majority of the world's population. In terms of irrigation water, the highest volume of irrigation water is utilized in paddy irrigation. Excessive water use causes both waste of limited water resources and various environmental problems. The drip irrigation method with high water use efficiency will reduce both the need for irrigation water and the environmental footprint of paddy production. This study was conducted to investigate the effects of two different irrigation intervals (2 and 4 days) and four irrigation levels (150%, 125%, 100%, and 75% of evaporation from a Class-A pan) on the nutritional traits of three different paddy cultivars (Ronaldo, Baldo, and Osmanc & imath;k). Increasing irrigation intervals and decreasing irrigation levels reduced the nutritional properties (protein, oil, starch) of the rice grains. In addition, increasing irrigation levels also increased the phytic acid and dietary fiber contents. The highest protein (7.14%) and total starch (87.10%) contents were obtained from the 150% irrigation treatments. The highest amylose content (20.74%) was obtained from the 75% irrigation treatment. In general, it was found that irrigation levels should be applied at 125% and 150% to increase the mineral content of rice grains. Although water deficits decreased the nutritional properties of the paddy cultivars, drip irrigation at an appropriate level did not have any negative effects on nutritional traits."
WOS:001595376800001,2025,English,Article,A study on durability and microstructural analysis of high-strength concrete utilizing rice husk ash and non-biodegradable polyethylene,Interfacial transition zone (ITZ); OPC; Scanning electron microscopy (SEM); Rice husk ash; PET waste; Acid attack; Durability; High-strength concrete (HSC),REPLACEMENT; RESISTANCE; AGGREGATE; CEMENT; WASTE,"The increasing need for green building materials has prompted research into alternative aggregates and binders that reduce the environmental footprint. This research explores the strength and microstructural characteristics of high-strength concrete (HSC) using rice husk ash (RHA) as a partial cement substitute and non-biodegradable polyethylene (PET) as a substitute for fine aggregates. The aim is to minimize cement consumption, make use of agricultural waste, and reuse plastic waste in order to counter environmental issues. Experimental program comprises the partial replacement of cement by PET at 0%, 5%, 10%, and 15% and fine aggregate by RHA at 10%, 20%, 30%, and 40%. Thorough tests were carried out such as compressive strength, water absorption, permeability, sulphate resistance, and chloride penetration. Scanning Electron Microscopy (SEM) analysis was used to study the microstructural impacts. Results show that the optimal mix-10% RHA and 5% PET replacement-achieved a compressive strength of 72 MPa at 28 days, representing a 5% increase compared to the control mix (68.5 MPa). Additionally, permeability was reduced by 15%, chloride penetration decreased by 20%, and water absorption dropped by 12%. While PET replacement beyond 10% caused a 10-18% reduction in compressive strength, it improved resistance to environmental degradation. The incorporation of RHA enhanced microstructural densification, reducing porosity by 22% and increasing sulphate resistance by 25%. SEM analysis confirmed the formation of additional C-S-H gel, leading to a refined pore structure. Higher levels of PET replacement diminished compressive strength but considerably enhanced resistance to the environment. RHA pozzolanic reaction enhanced microstructural densification, which diminished porosity and improved durability. This research illustrates how the use of RHA and PET in concrete offers a satisfactory compromise between environmental sustainability and mechanical performance, being a potential pathway for green building."
WOS:001788808100001,2026,English,Article,A two-stage framework for optimized carbonation curing in low-carbon cement valorizing waste biochar,Low-carbon cement; Waste biochar; Carbonation curing; CO2 sequestration; Orthogonal analysis,ACCELERATED CARBONATION; CONCRETE; PERFORMANCE; PROFILES; KINETICS; PASTE,"Carbonation curing provides a practical route to reduce the carbon footprint of cement by converting CO2 into stable carbonates while improving early-age performance. However, its efficiency is limited by moisture-controlled diffusion barriers and inconsistent curing protocols. This study couples process optimisation with waste-derived biochar to enhance CO2 uptake and strength development in cement pastes. An L9 orthogonal design using rice husk biochar (RHB) identified water-to-cement ratio, preconditioning duration, and biochar dosage as the governing parameters. The optimal combination-W/C = 0.40, 5% RHB, and 3 h preconditioning-produced substantial improvements in CO2 absorption, pore refinement, microhardness gradients, and both early and 28-day strengths. To evaluate the generality of this approach, two types of additional agricultural waste biochar, straw biochar (SB) and coconut shell biochar (CSB), were incorporated under the optimized curing regime. SB mainly acted as a filler, limiting CO2 transport, whereas CSB introduced a favorable meso-macropore network that enhanced CO2 transport, achieving carbonation degrees above 40% and early-strength gains of approximately 20 MPa at 5% dosage. These findings highlight the value of transforming bio-waste into functional porous additives that enable more efficient CO2 curing, which supports scalable, circular-economy strategies for low-carbon cement production."
WOS:001396623300001,2025,English,Article,Meta-analysis of yield-emission trade-off in direct seeded vs. puddled transplanted rice: Towards a cleaner and sustainable production,Mitigation; Carbon footprints; Direct seeded rice; Global warming potential; Puddled transplanted rice; Sustainability; Yield-emission trade-off,NITROUS-OXIDE EMISSIONS; METHANE EMISSION; FLOODED RICE; CONSERVATION AGRICULTURE; PADDY FIELDS; NO-TILLAGE; MANAGEMENT; SOILS; PERFORMANCE; CONVERSION,"Conventional rice production through puddled transplanted rice-PTR is tillage, water, energy, and capital intensive. Furthermore, it is a major contributor to greenhouse gas (GHGs) emissions. In this regard, Direct seeded rice-DSR can be a potential alternative to PTR for reducing GHGs emissions, while sustaining yields. However, depending upon agroclimatic situation, whether the effect of DSR on GHGs emission and yield are consistent or not, as compared to PTR need a comprehensive analysis. To bridge this knowledge gap, we performed a meta-analysis synthesizing 876 paired measurements from 54-peer-reviewed studies to understand how DSR impacts N2O and CH4 emissions, global warming potential-GWP (heat-trapping potential of greenhouse gases compared to CO2), yield and C-footprint-CFP (environmental impact in CO2 eq. due to concerned activity). Compared to PTR, DSR decreased CH4 emissions by 70%, GWP by 37% and CFP by 34%, despite 85% increase in N2O emissions. However, this shift comes with 11% decrease in yield. To decipher the primary factors driving these outcomes, we conducted subgroup analyses by taking environmental conditions and management practices as predictors in a random effect model. Low to medium pH soils, zero tillage, puddled soil (wet DSR), conventional flooding, and high nitrogen rates (>200 kg/ha) are found to be favorable for DSR with comparable yields but posing a discrepancy with environmental sustainability benefits. Therefore, further research to evaluate DSR across agro-ecologies, management practices are needed to optimize yields with lower GWP and CFP."
WOS:001001047400001,2023,English,Article,A novel approach of utilizing the waste biomass in the magnetizing roasting for recovery of iron from goethitic iron ore,Biomass and biochar; Carbon -neutrality; Circular economy; Magnetizing roasting; Environment protection,CHEMICAL-CHARACTERIZATION; ENERGY-RESOURCES; REDUCTION; BENEFICIATION; EXTRACTION; TAILINGS; BEHAVIOR; COAL,"The present study investigates the recovery potential and degree of grade-upgradation for goethitic iron ore upon treatment with magnetizing roasting. Magnetizing roasting has gained interest among its peers due to its low floor/water footprint, ease of techno-economics, zero process limitations, a higher degree of grade/recovery, etc., compared with existing ore dressing methods. Magnetizing roasting comprises roasting followed by magnetic separation. In the previous studies, process is stabilized for parameters such as roasting temperature between 700 to 1000 degrees C, roasting time between 10 to 50 min, and in presence of 30 wt.% of coal, followed by magnetic separation with magnetic strength ranging between 1000 to 3000 Gauss. Best set of optimal recovery and iron ore grade acquired are 87.44% and 72.46% with operating conditions at (a) roasting temperature - 850 degrees C, (b) roasting time - 30 min, and (d) magnetic strength - 3000 Gauss. Furthermore, as environmental protection agencies are necking down and gripping the utilization of coal/coke and imposing a carbon tax, integration of carbon-neutral fuel sources like biomass and biochar has become mandatory. In accordance with this, a comparative scheme employing a variety of biomass/biochar as coke substitutes in a progressive blending mode was used to investigate the possibility of substitution. The goal is to maintain the same level of upgradation and recovery potential throughout this process. The four types of biomass/biochar used for magnetizing roasting; with rice husk char (RHC), this partial substitution campaign concluded a recovery potential of 78-80% and a goethite ore grade of 72%.(c) 2023 The Author(s). Published by Elsevier B.V. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/)."
WOS:000432102500016,2018,English,Article,Comparison of alkali and silica sources in one-part alkali-activated blast furnace slag mortar,Alkali activation; Blast furnace slag; Geopolymer; Microsilica; Rice husk ash,RICE HUSK ASH; FLY-ASH; WASTE GLASS; SODIUM-SILICATE; METAKAOLIN; STRENGTH; DURABILITY; EVOLUTION; CONCRETE; BEHAVIOR,"Alkali-activated materials (AAMs) are one of the alternative low-CO2 binders. One-part AAMs, (that is, mixing a solid precursor with a solid alkali activator and adding water) have recently attracted increasing interest. The purpose of this study is to examine if fast-dissolving solid synthetic sodium metasilicate could be replaced by a combination of sodium hydroxide and slow-dissolving silica derived from rice husk ash or microsilica in the preparation of one-part alkali-activated blast furnace slag mortar. The replacement would improve the carbon footprint and the cost efficiency of the binder. The results demonstrate that silica availability significantly affects compressive strength development as a function of time or mixture composition. The highest compressive strength (107 MPa, 28 d) was obtained with fast-dissolving silica. Furthermore, setting times could be adjusted based on the mix composition, and the durability of mortar remained good after 120 freeze-thaw cycles. The results highlight the overall effect of silica availability on the fresh and hardened properties of one-part AAMs. (C) 2018 The Authors. Published by Elsevier Ltd."
WOS:001323781200001,2024,English,Article,Coastal Salinity Management and Cropping System Intensification through Conservation Agriculture in the Ganges Delta,coastal region; cropping system; economics; irrigation; salinity; water footprint,SUSTAINABLE INTENSIFICATION; CARBON FRACTIONS; POOLS,"Soil salinity is the major constraint for cropping system intensification in the coastal region of the Ganges Delta. Salts build up on the soil surface, as well as in the crop root zone, due to the capillary rise in underground brackish water, hampering the growth and development of crops and resulting in mortality and low yields. We studied, for three years (2020-2021 to 2022-2023), the effect of conservation agricultural practices (zero tillage planting, crop residue recycling, and crop rotations) on the major soil properties (soil salinity and organic carbon status), crop performance (yield and economics), and water footprint. Conservation agricultural practices significantly reduce soil salinity, build soil organic carbon, reduce water footprint, and increase the profitability of cropping systems compared to tillage-intensive conventional practices. Under conventional agriculture, the sole cropping of rice is more profitable than double and triple cropping systems."
WOS:001234436400001,2024,English,Article,"Microplastic and adhesive free, multifunctional, circular economy approach-based biomass-derived drinking straws",,RICE STRAW; KINETICS,"Generation of voluminous single -use plastic waste and byproducts from agricultural harvests such as rice straws (RSs) are major global challenges due to their disposal issues, contributing to greenhouse gas emissions, and affecting the ecological system with threats to human health. A scalable, low-cost, and ecofriendly strategy for fabricating cellulose -silica -based drinking straws, free from microplastics and adhesive, through strategic valorization of RS is reported. Functionalization by delignification- cum- crosslinking of RS leads to development of straws with high water stability ( similar to 5 days), solvothermal stability (0 degrees C- 95 degrees C), tensile strength (128 MPa), low migration values (<60 mg/kg), improved biodegradability ( similar to 126 days) with reduced wettability and hydrophobicity. RS drinking straws show antibacterial, selfcleaning, self -healing, anti -fizzing, reusable, and generate significantly lower carbon footprint (<99.8% and <53.34% global warming potential than metal and polylactic acid straws). Repurposing of agrowastes from farms to commercially viable drinking straws which biodegrades after its consumption achieves the goal of circular economy and sustainable development."
WOS:001372544400015,2024,English,Article,"Menvironmental impacts of crop production systems in subtropical plateau regions: case study of Yunnan, China",Environmental impact; Life cycle assessment; Plateau region; Subtropics,NITROGEN USE EFFICIENCY; NUTRIENT USE EFFICIENCY; LIFE-CYCLE ASSESSMENT; SUSTAINABLE INTENSIFICATION; ECONOMIC-BENEFITS; WHEAT PRODUCTION; GRAIN-YIELD; MAIZE; RICE; FOOD,"Excessive fertilisation, improper nutrient management, and specific climatic factors are the main reasons for the high environmental risks associated with agricultural production in subtropical plateau regions. However, quantitative data of environmental impacts and emission reduction potential remain unclear. The development potential of such systems is likely to be significant. In that context, we conducted a case study in Yunnan Province, China, to quantify the environmental impact of crop production from 2002 to 2021. A life cycle assessment method was employed to identify the factors driving environmental impacts, and potential mitigation strategies were proposed. The yield and total nutrient input of grain crops in Yunnan Province increased over the 20-year period, and the environmental footprint of crop production in Yunnan Province was higher than that in other regions. The average annual mean greenhouse gas (GHG) emissions, soil acidification potential (AP), and water eutrophication potential (EP) of crop production from 2002 to 2021 were 837 kg CO2-eq<middle dot>Mg-1, 15.7 kg SO2-eq<middle dot>Mg-1, and 2.71 kg PO4-eq Mg-1, respectively. Environmental emissions from crops mainly originate from the application of agricultural inputs (including fertilisers (N, P, and K), pesticides, seed, diesel fuels, and plastic film) during the crop life cycle. There was a significant correlation between surplus nitrogen and environmental impacts. Scenario testing showed that optimised nutrient management practices could increase crop yield and reduce environmental costs. GHG emissions, AP, and EP from the production of rice, wheat, and maize are expected to decrease by 43.0-59.5%, 51.5-64.5%, and 57.4-71.5%, respectively (scenario 4, S4). Based on these findings, we propose that com-prehensive agricultural management measures can reduce the negative impacts of crop production on the environment in subtropical plateau areas and help achieve sustainable agricultural development."
WOS:000944625100001,2023,English,Article,"Resource use efficiencies, environmental footprints and net ecosystem economic benefit of direct-seeded double-season rice in central China",Carbon footprint; Direct seeding; Economic benefit; Nitrogen footprint; Resource use efficiency,NITROGEN; SYSTEMS; N2O; CHALLENGES; WATER; STRATEGIES; EMISSIONS; TILLAGE,"Intensive cropping systems with two or three harvests per year are vital to produce sufficient food for the growing population. Improvements in the sustainability of these systems are critical for global food security. Transplanted double-season rice (TPD), an important cropping system in China, is seriously threatened by various challenges such as labor shortage, poor resource use efficiency, high environmental footprint, and low profitability. These challenges could be potentially alleviated by shifting TPD to direct-seeded double-season rice (DSD). Due to the limited thermal energy, ultrashort-duration cultivars matured within 95 days have to be used in DSD in central China. However, it is unknown whether DSD with ultrashort-duration cultivars (DSDS) can improve resource use efficiency and reduce environmental costs compared with TPD in this region. This study aimed to compare the resource use efficiency (energy, water, labor, and fertilizer), carbon and nitrogen foot-prints, and net ecosystem economic benefit of DSDS and TPD with ultrashort-duration (TPDS) and medium -duration cultivars (TPDM). Results showed that total energy output was 222.0 GJ ha-1 in DSDS, which was comparable to that of TPDM but was significantly increased by 9.5% compared with TPDS. Compared with TPD (i.e. both TPDS and TPDM), the total energy input, labor input, water input, and nitrogen surplus in DSDS reduced by 16.9%, 53.2%, 36.8%, and 31.4%, respectively, leading to significant increases in energy use efficiency, labor productivity, water use efficiency, and nitrogen use efficiency. Furthermore, DSDS decreased direct CH4 and NH3 emissions and indirect carbon emission and reactive nitrogen losses from agronomic inputs, and consequently reduced carbon footprint by 28.6-42.7% and nitrogen footprint by 12.9-14.8% compared with TPD. As a result, the net ecosystem economic benefit in DSDS was significantly increased by 65.9-188.2% relative to TPD. These findings suggest that DSDS is a highly promising strategy to maintain high productivity with less resource inputs and environmental pressures but high economic benefits in central China."
WOS:000966235000001,2023,English,Article,Hygrothermal properties of insulation materials from rice straw and natural binders for buildings,Thermal insulation; Hygric properties; Rice straw; Natural binder,ACOUSTICAL CHARACTERIZATIONS; PARAMETERS; COMPOSITE,"Conversion agricultural straws to building insulation materials has attracted great interest due to their good hygrothermal properties and low carbon footprint. In this study, fully bio-sourced composite materials were designed based on rice straw and natural binders. Sodium alginate and chitosan were used as the binders. A crosslinking method was proposed to prevent the water-soluble issue of the composites using sodium alginate as the binder. The influence of fiber size, binder type and binder ratio on the hygrothermal properties of the composite materials made of rice straw were investigated. It was found that all the materials are insulating with their thermal conductivity values between 0.038 and 0.047 W/(m.K). The alginate-based composites had the higher water vapor permeability and moisture sorption capacity than the chitosan-based composites. Larger fiber size and lower binder ratio resulted in lower thermal conductivity and higher water vapor permeability. How-ever, fiber size and binder ratio had a negligible effect on moisture sorption capacity of the composite materials. Additionally, the mold growth was investigated by exposing the composite materials to severe conditions, i.e., 93% RH and 97% RH at 20 degrees C. Mold proliferation was found to be easier and quicker in the surface of alginate -based composites compared to the chitosan-based composites."
WOS:001155989400001,2024,English,Article,The role of Kampar watershed in achieving sufficient rice production and sustaining agriculture,gray water; Riau province; rice farming; water footprint; water usage,CLIMATE-CHANGE; PROTECTED AREAS; IMPACTS,"Agriculture is the largest global water consumer, making it crucial to understand its impact on watersheds. This study, conducted in 2023, examines the Kampar watershed in the Riau province, covering Kampar and Pelalawan regencies. It assesses the watershed's suitability for meeting agricultural water needs, particularly for rice cultivation. The study utilizes quantitative methods, applying the Penman-Monteith technique and benefit transfer analysis to measure the water footprint of agriculture. Key indicators include blue water, green water, and gray water footprint. The water footprint in the Kampar watershed is 173.84 m(3)/ton, with rice cultivation in the Kampar regency having 57.96 m(3)/ton blue, 32.19 m(3)/ton green, and 14.52 m(3)/ton gray water footprints. In the Pelalawan regency, the values were 41.09 m(3)/ton blue, 25.59 m(3)/ton green, and 2.49 m(3)/ton gray water footprints. The findings suggest a significant need for ample water usage from surface and groundwater in both Kampar and Pelalawan regencies for rice cultivation. Regarding the water availability in each district: Kampar regency has 1,063,281,652 m(3)/year and Pelalawan regency has 987,542,991 m(3)/year. This surplus in the Kampar watershed ensures sufficient water for rice cultivation in both districts, especially in the Kampar regency. This holds promising further agricultural development in the Riau province."
WOS:001077126900001,2023,English,Article,"The in vitro effects of black soldier fly larvae (Hermitia illucens) oil as a high-functional active ingredient for inhibiting hyaluronidase, anti-oxidation benefits, whitening, and UVB protection",Hermitia illucens; black soldier fly; oil; anti-oxidation; whitening; hyaluronidase inhibition; UV protection; cosmetic application,LINOLEIC-ACID; FATTY-ACIDS; HERMETIA-ILLUCENS; EXTRACT; LIPIDS; INSECTS; STABILITY; LECITHINS; PROTEINS,"Objective: Larvae of Hermitia illucens, or black soldier fly larvae (BSFL), have been recognized for their high lipid yield with a remarkable fatty acid profile. BSFL oil (SFO) offers the added value of a low environmental footprint and a sustainable product. In this study, the characteristics and cosmetic-related activities of SFO were investigated and compared with rice bran oil, olive oil and krill oil which are commonly used in cosmetics and supplements.Methods: The physicochemical characteristics were determined including acid value, saponification value, unsaponifiable matter and water content of SFO. The fatty acid composition was determined using GC-MS equipped with TR-FAME. The in vitro antioxidant properties were determined using DPPH, FRAP and lipid peroxidation inhibition assays. Antihyaluronidase (anti-HAase) activity was measured by detecting enzyme activity and molecular docking of candidate compounds toward the HAase enzyme. The safety assessment towards normal human cells was determined using the MTT assay and the UVB protection upon UVB-irradiated fibroblasts was determined using the DCF-DA assay. The whitening effect of SFO was determined using melanin content inhibition.Results: SFO contains more than 60% polyunsaturated fatty acids followed by saturated fatty acids (up to 37%). The most abundant component found in SFO was linoleic acid (C18:2 n-6 cis). Multiple anti-oxidant mechanisms of SFO were discovered. In addition, SFO and krill oil prevented hyaluronic acid (HA) degradation via strong HAase inhibition comparable with the positive control, oleanolic acid. The molecular docking confirmed the binding interactions and molecular recognition of major free fatty acids toward HAase. Furthermore, SFO exhibited no cytotoxicity on primary human skin fibroblasts, HaCaT keratinocytes and PBMCs (IC50 values > 200 mu g/mL). SFO possessed significant in-situ anti-oxidant activity in UVB-irradiated fibroblasts and the melanin inhibition activity as effective as well-known anti-pigmenting compounds (kojic acid and arbutin, p < 0.05).Conclusion: This study provides scientific support for various aspects of SFO. SFO can be considered an alternative oil ingredient in cosmetic products with potential implications for anti-skin aging, whitening and UVB protection properties, making it a potential candidate oil in the cosmetic industry."
WOS:000646268400040,2021,English,Article,"Designing a healthy, low-cost and environmentally sustainable food basket: an optimisation study",Sustainable diets; Food consumption; Environmental impact; Iran,GREENHOUSE-GAS EMISSIONS; NUTRIENT DENSITY; ENERGY DENSITY; DIETS; CONSUMPTION,"Objective: Sustainable diets are diets with low environmental impacts and high affordability which contribute to food and nutrition security. The present study aimed to develop a healthy, low-cost and environmental-friendly food basket for Iran based on current consumption. Design: The Households Income and Expenditure Survey data were used. Linear Programming was utilised to obtain the optimal diets, separately, for each goal of the sustainable food basket: (1) Diet with maximum Nutrient Rich Food (NRF) index, (2) Diet with minimum cost, (3) Diet with the minimum water footprint and (4) Diet with the minimum carbon footprint. Goal Programming techniques were used to optimise the sustainable food basket by considering all goals simultaneously. Setting: Iran. Participants: Households (n 100 500) in urban and rural areas of Iran, nationally representative. Results: In the 'optimal model', compared with the usual consumption, the amount of the 'bread, cereal, rice, and pasta', 'meat, poultry, fish, eggs, legumes, and nuts' and 'fats, oils, sugars, and sweets' groups was decreased. Inside those food groups, cereals, poultry and vegetable oil subgroups were increased. Also, dairy, fruits and vegetable groups were increased. In this model, there was a 14 % reduction in the total water footprint, a 14 % decrease in the total carbon footprint, a 23 % decrease in the cost and a 7 % increase in NRF of diet compared with the usual consumption. Conclusions: Increasing the consumption of dairy, fruits and vegetables and reducing the consumption of bread, rice, pasta, meat, fish, eggs, legumes, nuts, hydrogenated fats and sugars are required to achieve a sustainable food basket."
WOS:001145204100001,2023,English,Article,Assessment of Wood Bio-Concrete Properties Modified with Silane-Siloxane,wood bio-concrete; silane-siloxane; bio-aggregates; water absorption; durability,,"Bio-based materials, such as wood bio-concrete (WBC), hold promise in reducing energy consumption and carbon footprint of the construction industry. However, the durability of these materials is not well understood and can be negatively affected by the high water absorption capacity of wood bio-aggregates. In the field of cement composites, for example, silane-siloxane-based water repellent has been used to protect such materials from natural environmental attack. Nevertheless, there is still a limited understanding of various aspects related to this type of treatment, including its performance when applied to the bio-concrete substrate. This research aimed to investigate the influence of silane-siloxane on the rheology and hydration of cementitious paste through isothermal calorimetry and thermogravimetric analysis. Additionally, the impact of silane-siloxane on the physical and mechanical properties of WBCs was examined by conducting tests at fresh state (flow table and entrained air content) and hardened state (compressive strength and capillary water absorption). The composites were produced with a volumetric fraction of 45% of wood shavings while the cement matrix consisted of a combination of cement, rice husk ash, and fly ash. Silane-siloxane was applied in three ways: as coating, incorporated as an admixture, and in a combination of both methods. The results indicated that by incorporating silane in the cementitious pastethe viscosity increased by 40% and the hydration was delayed by approximately 6 h when compared to the reference. In addition, silane improved the compressive strength of WBCs by 24% when incorporated into the mixture, expressively reduced the water sorptivity of WBCs (93%), and was more effective if used as coating."
