UT,PY,DI,TI,DE,ID
WOS:001330347300012,2024,10.1038/s41467-024-52858-6,The role of farm subsidies in changing India's water footprint,,GROUNDWATER DEPLETION; FOOD; ADAPTATION; POLICY; LIMITS
WOS:001373159000002,2024,10.17576/jkukm-2024-36(6)-08,(Water Footprint Assessment of Paddy Cultivation in Muda Area Malaysia),Water footprint; CROPWAT 8.0 programming; rice cultivation; sustainability; Muda area,RICE PRODUCTION; SCARCITY
WOS:001300053700014,2024,,ECONOMIC STUDY OF CALCULATION THE WATER FOOTPRINT AND VIRTUAL WATER FOR IRAQ'S IMPORTS FROM WHEAT AND RICE DURING 2000-2020,foreign trade; water requirements; water policy; food security,
WOS:001385875000015,2024,10.18805/LR-4812,Green and Blue Water Footprint for Groundnut ( Arachis hypogaea L.) under Irrigation Scheduling and Nutrient Management Practices,Groundnut; Irrigation scheduling; Nutrient management practices; Yield attributes.,
WOS:000961977700001,2023,10.1016/j.agwat.2023.108291,A multi-pollutant pilot study to evaluate the grey water footprint of irrigated paddy rice,Irrigated agriculture; Paddy rice; Multiple pollutants; Water footprint; Water quality management,BUTACHLOR; FIELDS; CROP; PHOSPHORUS; NITROGEN; QUALITY; BLUE
WOS:000990254500001,2023,10.1016/j.jhydrol.2023.129275,Effects of multidimensional urbanisation on water footprint self-sufficiency of staple crops in China,Crop production; Spatiotemporal variations; Driving force; Virtual water trade,UNIT-ROOT TESTS; VIRTUAL WATER; DRIVING FORCES; CLIMATE-CHANGE; FOOD SECURITY; CO2 EMISSIONS; PANEL-DATA; CONSUMPTION; STIRPAT; IMPACT
WOS:001104801900016,2023,,"Water footprint assessment towards food sustainability for the valley region of Manipur, North East India",Food sustainability; rice; satellite data; valley region; water footprint,RICE CULTIVATION SYSTEMS; CROP PRODUCTION
WOS:000650897900001,2021,10.3390/w13091249,"Water Footprint, Blue Water Scarcity, and Economic Water Productivity of Irrigated Crops in Peshawar Basin, Pakistan",green water footprint; blue water footprint; canal irrigated crops; water scarcity; economic water productivity; Pakistan,RIVER-BASIN; GREEN; AVAILABILITY; AGRICULTURE; SUSTAINABILITY; VARIABILITY; CONSUMPTION; EFFICIENCY; REDUCTION; SOILS
WOS:000603487500090,2021,10.1016/j.scitotenv.2020.143992,The scarcity-weighted water footprint provides unreliable water sustainability scoring,LCA; Water use; Water stress; SDG6; Water efficiency; Water productivity,ENVIRONMENTAL IMPACTS; CROP PRODUCTION; WHEAT; PRODUCTIVITY; CRITIQUE; LEVEL; GREEN; RICE
WOS:000759173000006,2021,10.1016/j.compag.2021.106501,Estimation of the rice water footprint based on machine learning algorithms,Water footprint; Rice production; Climate change; GCMs; Machine learning,CLIMATE-CHANGE; ADDITIVE REGRESSION; NEURAL-NETWORK; RANDOM FOREST; WINTER-WHEAT; CHINA; PRECIPITATION; RIVER; YIELD; REQUIREMENTS
WOS:000833397800001,2022,10.3390/atmos13071052,Winter Potato Water Footprint Response to Climate Change in Egypt,climate change; potato yield; food security; water footprint; water resources management,AGRICULTURAL PRODUCTION; REFERENCE EVAPOTRANSPIRATION; USE EFFICIENCY; RIVER-BASIN; GREEN; BLUE; CHINA; RICE; MANAGEMENT; IMPACTS
WOS:001739920600001,2026,10.1016/j.cesys.2026.100434,"Agricultural water footprint: trends, gaps and pathways to achieving sustainability goals",FAOSTAT; Water footprint network; Crop evapotranspiration; Irrigation management; Water-food nexus,CROP EVAPOTRANSPIRATION ESTIMATION; LAND-USE; POLLUTION LEVELS; BIG DATA; REDUCTION; GREEN; BLUE; CONSUMPTION; CRITIQUE; SCIENCE
WOS:000872025200001,2022,10.3390/agronomy12102494,Water Footprint Assessment of Green and Traditional Cultivation of Crops in the Huang-Huai-Hai Farming Region,sustainable crop production; green cultivation; grey water footprint; nitrogen reduction,GRAIN PRODUCTION; USE EFFICIENCY; SUMMER MAIZE; FOOD; GROUNDWATER; IRRIGATION; SIMULATION; IMPACT; INPUTS; YIELD
WOS:000873849700001,2022,10.3390/pr10102105,A Study on Spatial-Temporal Differentiation and Influencing Factors of Agricultural Water Footprint in the Main Grain-Producing Areas in China,main grain-producing areas; agricultural water footprint; spatial Dubin model,CROP PRODUCTION; CLIMATE-CHANGE; YIELD; RICE
WOS:000902503500001,2022,10.3390/hydrology9120210,"Water Footprint Assessment for Irrigated Paddy Cultivation in Walawe Irrigation Scheme, Sri Lanka",blue water footprint; rice production; evapotranspiration; irrigation water management,RICE PRODUCTION; CROP PRODUCTION; CONSUMPTION; GREEN; BLUE; FOOD
WOS:000803348300001,2022,10.3390/agronomy12051186,"Tillage, Water and Nitrogen Management Strategies Influence the Water Footprint, Nutrient Use Efficiency, Productivity and Profitability of Rice in Typic Ustochrept Soil",rice; water footprint; nutrient use efficiency; productivity; profitability,DRYING IRRIGATION; ORGANIC-CARBON; CROP; YIELD; WHEAT; AGRICULTURE; GREEN; BASIN
WOS:001790641600001,2026,10.3389/fpls.2026.1872210,Water footprint and water productivity dynamics of Mediterranean rice under climate change and water regime scenarios,blue water footprint; climate change; DSSAT; green water footprint; water productivity,CROP YIELD; IMPACT; GREEN; BLUE
WOS:001746298500001,2026,10.1007/s00271-026-01116-2,"A comparative analysis of crop water footprint, practices, and economic water productivity (EWP) in Punjab, Pakistan and Western Australia, Australia",,USE EFFICIENCY; CLIMATE-CHANGE; GROUNDWATER MARKETS; WHEAT; FOOD; IRRIGATION; RAINFALL; IMPACT; YIELDS; MAIZE
WOS:001791316500001,2026,10.21273/HORTSCI19454-26,Comparative Analysis of Irrigation Type and Controlled-release Fertilizer Rates on the Gray Water Footprint and Plant Growth of Container-grown Petunias,greenhouse; nutrient runoff; water use efficiency,EFFICIENCY; RICE; CROP
WOS:000662946900013,2021,10.2166/wcc.2020.093,"Temporal trends of climatic variables and water footprint of rice and wheat production in Punjab, India from 1986 to 2017",agriculture; evapotranspiration; green water; irrigation water requirement; path analysis; rain water harvesting,REFERENCE EVAPOTRANSPIRATION
WOS:001793455600001,2026,10.1007/s43621-026-03036-9,"Blue-green water footprint estimation of wheat-maize cropping pattern in the North-Western Upper Gangetic Plains, India",Rainfall; Crop evapotranspiration; CROPWAT; Wheat and maize; Blue and green water footprint,VIRTUAL WATER; CONSERVATION AGRICULTURE; GROUNDWATER DEPLETION; RICE; REQUIREMENT; TILLAGE; SYSTEM; CROPS; FLOWS
WOS:000562364500003,2020,10.1016/j.advwatres.2020.103679,Sustainability of the blue water footprint of crops,Water footprint; Crop production; Efficient water use; Water savings; Water scarcity,GROUNDWATER DEPLETION; IRRIGATION; RESOURCES; GREEN; AVAILABILITY; AQUIFERS; MODEL
WOS:000585713900001,2021,10.1007/s11069-020-04387-w,"Flood risk mapping and crop-water loss modeling using water footprint analysis in agricultural watershed, northern Iran",Flood damages; Water footprint; Crop water loss; Flood risk management; GIS; Talar watershed,SUSCEPTIBILITY ASSESSMENT; HAZARD AREAS; LAND-USE; GIS; REGION; URBANIZATION; GARDENS
WOS:000456175700113,2019,10.1016/j.scitotenv.2018.12.279,Water footprint of winter wheat under climate change: Trends and uncertainties associated to the ensemble of crop models,Climate change; Green water; Blue water; Water use; Crop yield forecasting,DURUM-WHEAT; CHANGE PROJECTIONS; RICE PRODUCTION; CHANGE IMPACTS; YIELD; TEMPERATURE; SENSITIVITY; EVAPOTRANSPIRATION; REQUIREMENTS; AGRICULTURE
WOS:000981100400001,2023,10.3390/agriculture13040784,"Precision Nutrient Management in Zero-Till Direct-Seeded Rice Influences the Productivity, Profitability, Nutrient, and Water Use Efficiency as Well as the Environmental Footprint in the Indo Gangetic Plain of India",direct-seeded rice; N2O emission; Nutrient Expert (R); nutrient-water use efficiency; soil-test based recommendation,WHEAT CROPPING SYSTEM; IRRIGATED RICE; GRAIN-YIELD; CULTIVATION; SOIL
WOS:000816975700004,2022,10.1016/j.scitotenv.2022.156682,Global spatio-temporal change assessment in interregional water stress footprint in China by a high resolution MRIO model,Water stress; Sub-national China; Global supply chain; Multi-regional input-output (MRIO) analysis; Production-based accounting (PBA); Consumption-based accounting (CBA),TRADE; CONSUMPTION; PROGRESS; CO2
WOS:000594551600001,2020,10.3390/su12229665,Water Use Efficiency and Sensitivity Assessment for Agricultural Production System from the Water Footprint Perspective,water footprint; blue-green water; evaluation index; sensitivity analysis; sustainable agriculture,CLIMATE-CHANGE; RICE YIELD; IRRIGATION; CHINA; REQUIREMENT; MANAGEMENT; SIMULATION; GREEN; BLUE
WOS:000556105400001,2020,10.1590/2318-0331.252020200017,"Water footprint analysis of temporary crops produced in Sao Carlos (SP), Brazil",Water security; Agricultural production; Water scarcity; Water use,CONSUMPTION; RESOURCES; SUGARCANE; NITROGEN; GREEN; BLUE
WOS:000487935800019,2019,10.3390/resources8030141,The Water Footprint of European Agricultural Imports: Hotspots in the Context of Water Scarcity,water footprint; water scarcity; virtual water trade; agricultural water use; agricultural imports,CONSUMPTION; RESOURCES; IMPACTS; COTTON; CROPS
WOS:000291088600017,2011,10.5194/hess-15-1577-2011,"The green, blue and grey water footprint of crops and derived crop products",,HIGH-RESOLUTION ASSESSMENT; RESOURCES; CONSUMPTION; IRRIGATION; WORLD; FLOWS; MODEL
WOS:000490563900053,2019,10.15666/aeer/1705_1103311044,EVALUATION OF WATER FOOTPRINT OF SELECTED CROP CONSUMPTION IN TEHRAN PROVINCE,per capita water footprint; water consumption; agricultural water management; CROPWAT model; virtual water,CHINA; SCARCITY; TRADE
WOS:000442973100132,2018,10.1016/j.jclepro.2018.06.266,Analyzing Egypt's water footprint based on trade balance and expenditure inequality,Egypt; National water footprint; Virtual water; Interregional input-output model; Expenditure patterns; Trade balance,INPUT-OUTPUT-ANALYSIS; VIRTUAL WATER; CHINA; CONSUMPTION; SCARCITY; SYSTEM; MODEL
WOS:000425943100006,2018,10.3390/su10020242,"Assessment of Potential Climate Change Effects on the Rice Yield and Water Footprint in the Nanliujiang Catchment, China",climate change; crop modeling; rice production; water footprint; SWAT model,CROP YIELD; MODELING APPROACH; CARBON-DIOXIDE; RIVER-BASIN; PO VALLEY; IMPACT; IRRIGATION; SYSTEMS; SWAT; VARIABILITY
WOS:000399845800014,2017,10.1016/j.scitotenv.2017.02.085,The water use of Indian diets and socio-demographic factors related to dietary blue water footprint,Food consumption; Sustainability; India; Freshwater use,GREENHOUSE-GAS EMISSIONS; CLIMATE-CHANGE; NUTRITION TRANSITION; SCARCITY FOOTPRINT; IMPACT; MANAGEMENT; PRODUCTIVITY; RESOURCES; SCENARIOS; DEPLETION
WOS:000519847200125,2020,10.3390/w12010125,Water-Scarcity Footprint Associated with Crop Expansion in Northeast China: A Case Study Based on AquaCrop Modeling,crop expansion; water scarcity; water consumption; environmental relevance,SIMULATE YIELD RESPONSE; CLIMATE-CHANGE; SPATIOTEMPORAL CHANGES; GRAIN; RESOURCES; IMPACTS; SCALE; AREA
WOS:000428516000106,2018,10.3390/w10030341,Uncertainty Analysis of the Water Scarcity Footprint Based on the AWARE Model Considering Temporal Variations,water scarcity footprint; characterization factor; uncertainty analysis; Monte Carlo statistical method; block bootstrap; probability distribution,ENVIRONMENTAL IMPACTS; LCA; CONSUMPTION; CRITIQUE
WOS:000419231500129,2017,10.3390/su9122283,Implications of Water Use and Water Scarcity Footprint for Sustainable Rice Cultivation,rice; water; water scarcity footprint; AWD system; sustainability; Thailand,CONSUMPTION; IMPACT; CROPS; CRITIQUE
WOS:000448772700005,2018,10.15666/aeer/1605_53815403,ESTIMATING THE COUNTRY-LEVEL WATER CONSUMPTION FOOTPRINT OF SELECTED CROP PRODUCTION,water footprint; water scarcity; agriculture water management; sustainability; Malaysia,VIRTUAL WATER; PADDY RICE; IMPACTS; PROVINCES; BIOFUEL; FOOD
WOS:000368418400024,2015,10.1002/2015WR017148,Global sensitivity of high-resolution estimates of crop water footprint,,VIRTUAL WATER; FRESH-WATER; FOOD; CLIMATE; YIELD
WOS:000361779500019,2015,10.1016/j.agsy.2015.07.009,Impact of potential climate change on crop yield and water footprint of rice in the Po valley of Italy,Rice Oryza sativa L.; Water footprint; Crop models; Climate change,SIMULATION-MODEL; CHANGE SCENARIOS; FLOODED RICE; SYSTEMS; FOOD; PRODUCTIVITY; RESOURCES; NORTHERN; MAIZE; GREEN
WOS:000368207500094,2016,10.1016/j.jclepro.2015.08.098,"The impact of changing food choices on the blue water scarcity footprint and greenhouse gas emissions of the British diet: the example of potato, pasta and rice",Carbohydrate; Diet; Life cycle assessment; Portion size; UK,ENVIRONMENTAL IMPACTS; PRODUCTION SYSTEMS; CARBON FOOTPRINT; VIRTUAL WATER; CONSUMPTION; CROP; UNCERTAINTIES; VARIABILITY; PRODUCTS; NATIONS
WOS:000342656100024,2014,10.1016/j.ecolind.2014.06.013,Water footprint benchmarks for crop production: A first global assessment,,NITROGEN-USE EFFICIENCY; IRRIGATED WHEAT; WINTER-WHEAT; YIELD; RICE; RESOURCES; GREEN; SOILS; CONSUMPTION; SECURITY
WOS:000338741700012,2014,10.3390/w6061698,"Water Footprint and Impact of Water Consumption for Food, Feed, Fuel Crops Production in Thailand",water footprint; water stress; crops; Thailand,SCENARIOS; YIELD
WOS:000338763900015,2014,10.5194/hess-18-2219-2014,Sensitivity and uncertainty in crop water footprint accounting: a case study for the Yellow River basin,,REFERENCE EVAPOTRANSPIRATION; CARBON FOOTPRINT; CLIMATE-CHANGE; BALANCE MODEL; SUMMER MAIZE; CONSUMPTION; PRECIPITATION; VARIABILITY; PRODUCTS; ERRORS
WOS:000332512200014,2014,10.2166/wst.2013.759,The water footprint of Milan,city; Italy; Milan; urban; water footprint; water use,AUSTRIA; BALANCE
WOS:001624506200001,2025,10.3390/su172210359,Impact of Low CO2 Footprint-Dissolution Treatment of Silica and Potassium-Rich Biomass Ashes on the Compressive Strength of Alkali-Activated Mortars,eco-efficient binder systems; alkali-activated mortars; waste valorisation; waste-derived activating suspensions; low-carbon binders,BLAST-FURNACE SLAG; CALCIUM CARBIDE RESIDUE; GLASS; HUSK
WOS:001416302000001,2025,10.1016/j.eiar.2025.107821,Sustainability on the plate: Unveiling the environmental footprint of pasta supply chain through Life Cycle Assessment,Supply chain management; Life Cycle Assessment; Sustainability; Pasta; Fresh stuffed pasta; Gluten-free pasta,CARBON FOOTPRINT; FOOD; WHEAT
WOS:001364779500001,2024,10.1016/j.agwat.2024.109181,Mitigating methane emissions and carbon footprint in rice-wheat rotation system by straw centralized returning under rainfed conditions,Z. Xiying; Paddy fields; GHG emissions; Straw returning; Water regime; Net ecosystem economic benefit; Carbon footprint,NITROUS-OXIDE EMISSIONS; GREENHOUSE-GAS EMISSIONS; N2O EMISSIONS; CROP RESIDUE; TILLAGE PRACTICES; SOIL; BIOCHAR; WATER; MANAGEMENT; FIELDS
WOS:001261831800001,2024,10.1016/j.scitotenv.2024.173852,Resources time footprint indicator extension for evaluating human interventions in provisioning ecosystem services supply,,LIFE-CYCLE ASSESSMENT; SUSTAINABILITY ASSESSMENT; SENSITIVITY-ANALYSIS; SUGARCANE PRODUCTION; STEEL PRODUCTION; WATER FOOTPRINT; FLOWS; ELECTRICITY; EMISSIONS; IMPACTS
WOS:001162483000004,2024,10.1038/s41597-024-03051-3,Water footprints and crop water use of 175 individual crops for 1990-2019 simulated with a global crop model,,YIELD RESPONSE; EVAPOTRANSPIRATION; AQUACROP; BLUE; MAIZE; SENSITIVITY; TRADE; GREEN; RICE; LAND
WOS:001678305100001,2026,10.1016/j.nexus.2026.100633,Reducing carbon footprint and acquiring carbon credits in intensively cultivated rice wheat system by tillage and residue management,Carbon footprint; Carbon balance; Zero tillage; Energy efficiency; Residue retention; Carbon credit,INDO-GANGETIC PLAINS; CONSERVATION AGRICULTURE; ORGANIC-CARBON; NITROUS-OXIDE; CROPPING SYSTEM; NO-TILL; SOIL; EMISSIONS; MITIGATION; YIELD
WOS:001442253200001,2025,10.3390/w17050717,"Nitrogen and Gray Water Footprints of Various Cropping Systems in Irrigation Districts: A Case from Ningxia, China",irrigated areas; life cycle; nitrogen footprint; gray water footprint; LMDI; gray correlation analysis,GREENHOUSE-GAS EMISSIONS; REACTIVE NITROGEN; DECOMPOSITION; FERTILIZER; POLLUTION; GROWTH; CARBON; FIELD
WOS:001548613300001,2025,10.1016/j.resenv.2025.100246,Climate smart land configurations and cropping systems diversification sustaining soil-water-carbon synergy and resource use efficiency,Water harvesting; Soil health; Crop physiological response; System productivity; Water footprint; Carbon footprint,TILLAGE PRACTICES; ORGANIC-CARBON; FOOTPRINT; CONSERVATION; IMPACT; WHEAT; RICE
WOS:001503913200002,2025,10.1016/j.eti.2025.104241,"Dynamic multi-objective optimization of rice irrigation integrating crop growth and water cycle dynamics: Promoting synergies in water conservation, production enhancement, and emission reduction",Rice Irrigation; Multi-objective optimization; Water cycle dynamics; EPIC model; Water use efficiency; Climate change scenarios (CMIP6),MODEL
WOS:001652545200002,2025,10.1038/s41598-025-08906-2,High-resolution water footprints of major crops in China from cities to grids,Crop production; Water footprint; High-resolution; City-scale; Downscale,TRADE; SENSITIVITY; EMISSIONS; SCARCITY; GREEN; BLUE
WOS:001596709600001,2025,10.1017/S1742170525100112,"A comparative analysis of the water and carbon footprints of hybrid, plant-based, and animal-based burgers",alternative proteins; carbon footprint; environmental assessment; hybrid burgers; life cycle assessment; nutritional productivity; plant-based diet; water footprint,GREENHOUSE-GAS EMISSIONS; LIFE-CYCLE ASSESSMENT; ENVIRONMENTAL IMPACTS; SUSTAINABLE DIET; BEEF-CATTLE; SEQUESTRATION; FOODS
WOS:001657260500001,2025,10.3390/w18010009,Evolution and Driving Factors of Water Footprints for Major Grain Crops: Evidence from China's Main Grain-Producing Regions,grain crops; production water footprint; major grain-producing regions; driving factors,
WOS:001499445900013,2025,10.2166/wpt.2025.071,Optimizing water footprints and yield sustainability in Boro rice through alternate wetting and intense drying: A climate-resilient strategy for Bangladesh,alternate wetting and intense drying; climate change projection; irrigation water management; rice cultivation; water footprint; water-efficient practices,CHANGE IMPACT; BIAS CORRECTION; IRRIGATION; MANAGEMENT; PRODUCTIVITY; PHYSIOLOGY; ADOPTION; WHEAT
WOS:001298502400001,2024,10.1016/j.scitotenv.2024.173464,Crop grey water footprints in China: The impact of pesticides on water pollution,Grey water footprint; Pesticides; Nitrogen; Phosphorus; Water pollution; Agriculture,PHOSPHORUS; QUALITY; LOADS
WOS:001282425000001,2024,10.1016/j.agwat.2024.108956,Enhanced strategies for water and fertilizer management to optimize yields and promote environmental sustainability in the mechanized harvesting of ratoon rice in Southeast China,Ratoon rice; Yield; Carbon footprint; Greenhouse gas emissions; Axillary bud,NITROGEN USE EFFICIENCY; GRAIN-YIELD; SOIL
WOS:001017010300006,2023,10.1038/s41467-023-39454-w,Enhancing rice production sustainability and resilience via reactivating small water bodies for irrigation and drainage,,CONJUNCTIVE USE; FOOTPRINT; CHALLENGES; MANAGEMENT; CROPS; PONDS
WOS:000267292200029,2009,10.1073/pnas.0812619106,The water footprint of bioenergy,sustainability; climate change; energy; biomass; natural resource use,
WOS:001613200000001,2025,10.1007/s11367-025-02555-3,Integrating life cycle assessment and costing in organic rice systems: scenario-based evaluation of water management and clean energy strategies in Thailand,Organic rice; Life cycle assessment (LCA); Life cycle costing (LCC); Alternate wetting and drying (AWD); Solar pumping irrigation (SPI); Sustainable agriculture,SUSTAINABILITY
WOS:000581049800028,2020,10.1016/j.scitotenv.2020.141247,Better assessments of greenhouse gas emissions from global fish ponds needed to adequately evaluate aquaculture footprint,Methane; Carbon dioxide; Nitrous oxide; Mitigation; Ebullition; Aeration,NITROUS-OXIDE EMISSIONS; ORGANIC-MATTER SOURCES; METHANE EMISSIONS; LIPID BIOMARKERS; N2O EMISSION; RICE PADDIES; FLUXES; SOIL; SHRIMP; SYSTEM
WOS:001241104800001,2024,10.1016/j.agwat.2024.108865,Application of resource-environmental-economic perspective for optimal water and nitrogen rate under high-low seedbed cultivation in winter wheat,Resource use efficiency; Environmental footprint; Net benefit; Water and nitrogen regime,EMISSIONS; SOILS; RICE
WOS:000880091800001,2022,10.3389/fpls.2022.990105,Coupling life cycle assessment and global sensitivity analysis to evaluate the uncertainty and key processes associated with carbon footprint of rice production in Eastern China,carbon footprint; global sensitivity analysis; morris sensitivity analysis; sobol' sensitivity analysis; uncertainty analysis; life cycle assessment,WATER; MANAGEMENT
WOS:001262684900001,2024,10.1088/1748-9326/ad5a24,Large agri-food corporations in the global staple and cash crops markets: a quantitative analysis of rice and coffee through the virtual water perspective,large companies; staple crops; cash crops; agro-food sector; virtual water,TRADE; FOOTPRINT
WOS:001256728300001,2024,10.3390/su16125030,"Coupling Coordination Evaluation of Water and Soil Resource Matching and Grain Production, and Analysis of Obstacle Factors in a Typical Black Soil Region of Northeast China",matching of water and soil resources; grain production; water footprint; coupling coordination; obstacle factors; agricultural sustainable development,
WOS:001305862600001,2024,10.3390/agronomy14081747,"Effect of Irrigation and Cultivation Modes on Growth, Physiology, Rice Yield Parameters and Water Footprints",irrigation; cultivation mode; oryza sativa yield; water footprints; lodging coefficient; water use efficiency,EFFICIENCY; MESOPHYLL
WOS:001152556200001,2024,10.2166/ws.2024.012,Estimation of irrigation water requirements in the Gharb-irrigated perimeter (north-western Morocco),climate change; Gharb Plain; irrigation; water requirement,EVAPOTRANSPIRATION; BASIN
WOS:001387777000001,2024,10.3390/w16243693,Revealing Climate-Induced Patterns in Crop Yields and the Water-Energy-Food-Carbon Nexus: Insights from the Pearl River Basin,AquaCrop model; NSGA-II method; Sobol sensitivity analysis; machine learning; climate change,PROCESS-BASED MODEL; AQUACROP MODEL; RICE PRODUCTION; CHINA; MAIZE; IRRIGATION; DEMAND; TEMPERATURE; VALIDATION; MANAGEMENT
WOS:001723298500001,2026,10.1016/j.resenv.2026.100323,Optimizing crop planting structures for water savings and grain revenue in China considering different spatial scales,Blue water footprint; Grain revenue; Spatial scale; Multi-objective programming; China,HEIHE RIVER-BASIN; FOOTPRINT; BLUE
WOS:001718001600001,2026,10.1016/j.agwat.2026.110283,"Multidimensional sustainability assessment of rice cultivation systems in cold regions: Trade-offs and synergies among water, carbon, energy, and economic footprints",Rice cultivation models; Direct-seeded rice; Sustainability assessment; Water footprint; Carbon footprint; Energy footprint; Net ecosystem economic benefit; Cold-region rice cropping,GREENHOUSE-GAS EMISSIONS; SAVING IRRIGATION; SOIL; TILLAGE; YIELD
WOS:000741698800001,2022,10.3390/su14010315,Carbon Footprint Calculator Customized for Rice Products: Concept and Characterization of Rice Value Chains in Southeast Asia,greenhouse gas; water management; fertilizers; milling; straw management; post-harvest; product recovery; by-products; export,GREENHOUSE-GAS EMISSIONS; LIFE-CYCLE ASSESSMENT; FOOD-PRODUCTION; CLIMATE-CHANGE; ENVIRONMENTAL IMPACTS; CROPPING SYSTEMS; WATER-USE; MITIGATION; MANAGEMENT; CHINA
WOS:001795359100001,2026,10.5194/essd-18-4097-2026,A high-resolution gridded dataset of water footprints for China's major food crops from 2001 to 2020,,EVAPOTRANSPIRATION; SECURITY; GREEN
WOS:001713912400001,2026,10.1007/s13201-026-02776-3,Assessment of machine learning models to forecast water footprints of rice production,Water footprint; Rice; Machine-learning models; Multi-layer perceptron; Agricultural water management,RANDOM SUBSPACE METHOD; RANDOM FOREST; AGRICULTURE; HYDROLOGY; FIELD
WOS:001751714000001,2026,10.1016/j.jafr.2026.102938,Thirsty but not equal: Shifting water scarcity in China's grain production (1995-2022),Water footprint; Blue-green water; Water scarcity; Grain production; China,CROP PRODUCTION; CLIMATE-CHANGE; USE EFFICIENCY; FOOTPRINT; IRRIGATION; MAIZE; RESOURCES; YIELD; REQUIREMENTS; TRADE
WOS:001763098800001,2026,10.3390/agriculture16091002,Return Flow Compensation Reshapes Water Savings and Carbon-Water Synergy in Cold-Region Paddy Systems,alternate wetting and drying; methane emission mitigation; water footprint; irrigation efficiency paradox; LMDI decomposition; Sanjiang Plain,SENSITIVITY-ANALYSIS; IRRIGATION; EMISSIONS; FIELDS
WOS:001775579500001,2026,10.3390/su18105097,Water Use Efficiency and Carbon Trade-Offs of Gravity and Pump Irrigation in Rice Cultivation,irrigation; water use efficiency; rice cultivation; water-energy-food nexus; sustainable agriculture; decarbonization targets,PRODUCTIVITY; SYSTEMS; MANAGEMENT; FOOTPRINT; INCREASE
